example_id                                                     | status | run_time        |
./spec/controllers/users_controller_spec.rb[1:2:1]             | passed | 0.00942 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2]             | passed | 0.00882 seconds |
./spec/controllers/users_controller_spec.rb[1:2:3]             | passed | 0.01041 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1]             | passed | 0.01766 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]             | passed | 0.01079 seconds |
./spec/features/bucket_spec.rb[1:1]                            | passed | 4.18 seconds    |
./spec/features/bucket_spec.rb[1:2]                            | passed | 0.49954 seconds |
./spec/features/order_spec.rb[1:1]                             | passed | 1.26 seconds    |
./spec/mailers/order_mailer_spec.rb[1:1:1]                     | passed | 0.03453 seconds |
./spec/mailers/order_mailer_spec.rb[1:2:1]                     | passed | 0.04416 seconds |
./spec/models/category_spec.rb[1:1:1]                          | passed | 0.00465 seconds |
./spec/models/feedback_spec.rb[1:1:1]                          | passed | 0.00498 seconds |
./spec/models/feedback_spec.rb[1:1:2]                          | passed | 0.00378 seconds |
./spec/models/feedback_spec.rb[1:1:3]                          | passed | 0.00532 seconds |
./spec/models/feedback_spec.rb[1:1:4]                          | passed | 0.00486 seconds |
./spec/models/feedback_spec.rb[1:1:5]                          | passed | 0.00494 seconds |
./spec/models/order_product_spec.rb[1:1:1]                     | passed | 0.00256 seconds |
./spec/models/order_product_spec.rb[1:1:2]                     | passed | 0.00209 seconds |
./spec/models/order_product_spec.rb[1:2:1]                     | passed | 0.0089 seconds  |
./spec/models/order_product_spec.rb[1:3:1]                     | passed | 0.00554 seconds |
./spec/models/order_spec.rb[1:1:1]                             | passed | 0.00229 seconds |
./spec/models/order_spec.rb[1:1:2]                             | passed | 0.00421 seconds |
./spec/models/order_spec.rb[1:1:3]                             | passed | 0.0026 seconds  |
./spec/models/order_spec.rb[1:1:4]                             | passed | 0.00271 seconds |
./spec/models/order_spec.rb[1:2:1]                             | passed | 0.00249 seconds |
./spec/models/order_spec.rb[1:3:1]                             | passed | 0.00694 seconds |
./spec/models/order_spec.rb[1:3:2]                             | passed | 0.00771 seconds |
./spec/models/order_spec.rb[1:3:3]                             | passed | 0.0066 seconds  |
./spec/models/order_spec.rb[1:3:4]                             | passed | 0.00629 seconds |
./spec/models/order_spec.rb[1:3:5]                             | passed | 0.00679 seconds |
./spec/models/order_spec.rb[1:3:6]                             | passed | 0.01227 seconds |
./spec/models/order_spec.rb[1:3:7]                             | passed | 0.00947 seconds |
./spec/models/order_spec.rb[1:3:8]                             | passed | 0.00928 seconds |
./spec/models/order_spec.rb[1:3:9]                             | passed | 0.00878 seconds |
./spec/models/page_spec.rb[1:1:1]                              | passed | 0.0049 seconds  |
./spec/models/page_spec.rb[1:1:2]                              | passed | 0.00441 seconds |
./spec/models/product_spec.rb[1:1:1]                           | passed | 0.0024 seconds  |
./spec/models/product_spec.rb[1:1:2]                           | passed | 0.00662 seconds |
./spec/models/product_spec.rb[1:1:3]                           | passed | 0.00263 seconds |
./spec/models/product_spec.rb[1:1:4]                           | passed | 0.00209 seconds |
./spec/models/product_spec.rb[1:2:1]                           | passed | 0.00501 seconds |
./spec/models/user_spec.rb[1:1:1]                              | passed | 0.007 seconds   |
./spec/models/user_spec.rb[1:1:2]                              | passed | 0.00587 seconds |
./spec/models/user_spec.rb[1:1:3]                              | passed | 0.00734 seconds |
./spec/models/user_spec.rb[1:1:4]                              | passed | 0.03062 seconds |
